,Unnamed: 0,part0,part1,part2,part3,part4,part5,-/-,-/+,+/-,+/+,output_phenotype,burden -/-,burden -/+,burden +/-,burden +/+
18,18,pTet,pBAD,PsrA,pTet,pBAD,AraC,"[[0], [0], [0], [0], [0], [0]]","[[1], [0], [0], [1], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[1], [0], [0], [1], [0], [0]]","[[0], [0], [0], [0]]",0.0,0.0,0.0,0.0
19,19,pTet,pBAD,PsrA,pTet,pBAD,PsrA,"[[0], [0], [0], [0], [0], [0]]","[[1], [0], [0], [1], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[1], [0], [0], [1], [0], [0]]","[[0], [0], [0], [0]]",0.0,0.0,0.0,0.0
20,20,pTet,pBAD,PsrA,pTet,pBAD,tfSp,"[[0], [0], [0], [0], [0], [0]]","[[1], [0], [0], [1], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[1], [0], [0], [1], [0], [0]]","[[0], [0], [0], [0]]",0.0,0.0,0.0,0.0
21,21,pTet,pBAD,PsrA,pTet,pPsrA,AraC,"[[0], [0], [0], [0], [1], [1]]","[[1], [0], [0], [1], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[1], [0], [0], [1], [1], [1]]","[[1], [1], [1], [1]]",1.0,1.0,1.0,1.0
22,22,pTet,pBAD,PsrA,pTet,pPsrA,PsrA,"[[0, 0], [0, 0], [0, 0], [0, 0], [1, 0], [1, 0]]","[[1], [0], [0], [1], [1], [1]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [0, 1]]","[[1], [0], [0], [1], [1], [1]]","[[1, 0], [1], [0, 1], [1]]",0.5,1.0,0.5,1.0
23,23,pTet,pBAD,PsrA,pTet,pPsrA,tfSp,"[[0], [0], [0], [0], [1], [1]]","[[1], [0], [0], [1], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[1], [0], [0], [1], [1], [1]]","[[1], [1], [1], [1]]",1.0,1.0,1.0,1.0
24,24,pTet,pBAD,PsrA,pTet,pTac,AraC,"[[0], [0], [0], [0], [0], [0]]","[[1], [0], [0], [1], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[1], [0], [0], [1], [1], [1]]","[[0], [1], [1], [1]]",0.0,1.0,1.0,1.0
25,25,pTet,pBAD,PsrA,pTet,pTac,PsrA,"[[0], [0], [0], [0], [0], [0]]","[[1], [0], [0], [1], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[1], [0], [0], [1], [1], [1]]","[[0], [1], [1], [1]]",0.0,1.0,1.0,1.0
26,26,pTet,pBAD,PsrA,pTet,pTac,tfSp,"[[0], [0], [0], [0], [0], [0]]","[[1], [0], [0], [1], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[1], [0], [0], [1], [1], [1]]","[[0], [1], [1], [1]]",0.0,1.0,1.0,1.0
27,27,pTet,pBAD,PsrA,T10,pBAD,AraC,"[[0], [0], [0], [0], [0], [0]]","[[1], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[1], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0]]",0.0,0.0,0.0,0.0
28,28,pTet,pBAD,PsrA,T10,pBAD,PsrA,"[[0], [0], [0], [0], [0], [0]]","[[1], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[1], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0]]",0.0,0.0,0.0,0.0
29,29,pTet,pBAD,PsrA,T10,pBAD,tfSp,"[[0], [0], [0], [0], [0], [0]]","[[1], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[1], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0]]",0.0,0.0,0.0,0.0
30,30,pTet,pBAD,PsrA,T10,pPsrA,AraC,"[[0], [0], [0], [0], [1], [1]]","[[1], [0], [0], [0], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[1], [0], [0], [0], [1], [1]]","[[1], [1], [1], [1]]",1.0,1.0,1.0,1.0
31,31,pTet,pBAD,PsrA,T10,pPsrA,PsrA,"[[0, 0], [0, 0], [0, 0], [0, 0], [1, 0], [1, 0]]","[[1, 1], [0, 0], [0, 0], [0, 0], [0, 1], [0, 1]]","[[0, 0], [0, 0], [0, 0], [0, 0], [1, 0], [1, 0]]","[[1, 1], [0, 0], [0, 0], [0, 0], [0, 1], [0, 1]]","[[1, 0], [0, 1], [1, 0], [0, 1]]",0.5,0.5,0.5,0.5
32,32,pTet,pBAD,PsrA,T10,pPsrA,tfSp,"[[0], [0], [0], [0], [1], [1]]","[[1], [0], [0], [0], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[1], [0], [0], [0], [1], [1]]","[[1], [1], [1], [1]]",1.0,1.0,1.0,1.0
33,33,pTet,pBAD,PsrA,T10,pTac,AraC,"[[0], [0], [0], [0], [0], [0]]","[[1], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [1], [1]]","[[1], [0], [0], [0], [1], [1]]","[[0], [0], [1], [1]]",0.0,0.0,1.0,1.0
